index,Timestamp,ID,Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
0,6/3/2019 9:43:27,23,Dr Bug: Microbe Mayhem,2,0,0,0,2,0,0,0,1,0,1,It is a nice game.
1,6/3/2019 10:11:09,23,Fungal Invaders,2,0,0,0,0,0,0,0,0,0,1,"Easy to play, innovative game."
2,6/3/2019 9:53:54,23,Superbugs: the Game,1,0,0,0,1,0,0,0,0,0,1,It is an easy innovative game.
3,6/3/2019 10:09:29,15,Dr Bug: Microbe Mayhem,3,1,1,0,3,0,4,0,3,0,4,"Visuals are nice
"
4,6/3/2019 10:10:56,15,Fungal Invaders,3,3,3,1,1,3,3,3,3,1,1,
5,6/3/2019 9:53:24,15,Superbugs: the Game,0,0,0,0,4,1,0,3,0,0,0,
6,6/3/2019 9:35:24,32,Dr Bug: Microbe Mayhem,0,1,0,0,0,0,4,0,3,0,0,
7,6/3/2019 10:06:54,32,Fungal Invaders,4,0,0,0,3,0,0,0,0,0,0,
8,6/3/2019 9:53:58,32,Superbugs: the Game,4,0,0,0,0,0,0,0,0,0,0,
9,6/3/2019 9:37:05,26,Dr Bug: Microbe Mayhem,1,3,0,3,2,1,1,2,1,3,0,during diet we should open some more option of diet sign
10,6/3/2019 10:06:17,26,Fungal Invaders,1,1,1,3,2,1,0,2,0,4,0,some issues when we shift the syringe
11,6/3/2019 9:55:32,26,Superbugs: the Game,2,0,0,3,1,0,0,4,0,4,0,knowledge is very good
12,6/3/2019 9:36:49,21,Dr Bug: Microbe Mayhem,3,1,1,0,1,1,0,3,1,1,3,"other food items can be include, dragging, action of antibacteria"
13,6/3/2019 10:08:51,21,Fungal Invaders,4,4,4,0,4,4,2,2,2,0,4,
14,6/3/2019 9:51:08,21,Superbugs: the Game,4,4,0,0,1,0,0,4,0,0,4,"nothing, not interesting.....bored"
15,6/3/2019 9:42:54,0,Dr Bug: Microbe Mayhem,0,0,0,0,4,0,0,0,0,0,0,everything was good:-)
16,6/3/2019 10:10:50,0,Fungal Invaders,0,0,0,0,0,0,0,0,0,0,0,awesome 
17,6/3/2019 9:54:22,0,Superbugs: the Game,0,0,0,0,0,0,0,0,0,0,0,good one
18,6/3/2019 9:36:19,10,Dr Bug: Microbe Mayhem,3,1,2,2,2,0,2,1,2,1,2,
19,6/3/2019 10:10:14,10,Fungal Invaders,1,2,3,2,2,2,1,2,3,0,4,
20,6/3/2019 9:56:50,10,Superbugs: the Game,1,1,2,1,1,2,1,1,1,0,0,nice game 
21,6/3/2019 9:38:57,14,Dr Bug: Microbe Mayhem,3,3,1,1,0,0,0,4,1,4,1,This game was absolutely good but the time of food regenration was a little more and with antibiotics a few times only the good bacteria and virus gets kiled which affects the health of the person very much.
22,6/3/2019 10:11:11,14,Fungal Invaders,1,1,0,0,0,1,1,0,0,0,0,This is a very good game and is very easy to play and also can be a way to educate people that the type of disease is only cured by certain drugs
23,6/3/2019 9:59:27,14,Superbugs: the Game,0,0,0,0,0,0,0,0,0,1,0,This game was a very nice one in spreading awareness that it takes time to heel from a strong bacteria and we have also to care about the small precautions of saving ourself from time to time from diseases . Altough it was a very simple game but very interesting one also. 
24,6/3/2019 9:35:34,7,Dr Bug: Microbe Mayhem,2,1,0,0,1,0,0,1,1,0,1,
25,6/3/2019 10:11:18,7,Fungal Invaders,3,3,1,1,3,1,3,3,3,1,3,
26,6/3/2019 9:53:29,7,Superbugs: the Game,0,0,0,0,1,0,0,1,0,0,0,
27,6/3/2019 9:37:28,28,Dr Bug: Microbe Mayhem,4,2,2,2,1,1,3,3,1,4,3,i didnt get it
28,6/3/2019 10:07:48,28,Fungal Invaders,0,0,1,1,1,1,0,1,1,1,1,same colour antibiotics used to kill same colour fungi made it easy to play
29,6/3/2019 9:55:57,28,Superbugs: the Game,0,1,0,0,0,1,0,1,1,3,2,drugs killing bacteria were great
30,6/3/2019 9:37:44,20,Dr Bug: Microbe Mayhem,1,1,1,1,1,1,1,1,1,1,0,Instructions need to be given properly
31,6/3/2019 9:55:28,20,Superbugs: the Game,1,1,1,1,1,1,1,1,1,1,1,Technical details need to be told to the gamer
32,6/3/2019 9:35:28,24,Dr Bug: Microbe Mayhem,0,2,0,0,2,2,0,3,0,0,0,easy to play
33,6/3/2019 10:18:14,24,Fungal Invaders,0,0,0,0,2,2,0,2,0,0,0,
34,6/3/2019 9:54:41,24,Superbugs: the Game,1,0,0,0,2,2,0,2,0,0,0,
35,6/3/2019 9:37:26,25,Dr Bug: Microbe Mayhem,2,1,0,0,2,0,0,0,1,1,2,"according to me as a student, this game is not of any use.. We have not been told that what is the purpose of this game. we don't know why we are playing it."
36,6/3/2019 10:09:51,25,Fungal Invaders,0,0,0,0,3,0,0,1,1,0,0,It was simply a fun. As i have played 2 more games before. so this become quite easy.
37,6/3/2019 9:55:35,25,Superbugs: the Game,1,1,0,0,4,1,1,0,1,1,2,i don't know what is the need of playing this game. 
38,6/3/2019 9:35:20,2,Dr Bug: Microbe Mayhem,4,0,3,0,2,2,1,0,4,0,0,instructions need to be well formulated
39,6/3/2019 10:10:20,2,Fungal Invaders,1,0,0,0,0,0,0,1,0,4,0,
40,6/3/2019 9:56:16,2,Superbugs: the Game,0,0,0,4,0,0,3,0,0,4,0,
41,6/3/2019 9:34:37,16,Dr Bug: Microbe Mayhem,2,2,2,1,1,2,0,2,1,3,2,"it can be made more systematic
"
42,6/3/2019 10:04:23,16,Fungal Invaders,3,1,1,1,2,2,1,1,1,2,4,
