index,Timestamp,ID,Which game have you just played?,01. I think that I would like to play this game frequently.,02. I found the game unnecessarily complex.,03. I thought the game was easy to play.,04. I think that I would need the support of a technical person to be able to play this game.,05. I found the various functions in this game were well integrated.,06. I thought there was too much inconsistency in this game.,07. I would imagine that most people would learn to play this game very quickly.,08. I found the game very cumbersome to play.,09. I felt very confident using the game.,10. I needed to learn a lot of things before I could get going with this game.,11. I would recommend this game to a friend.,"12. Write here your remarks about the game: which feature was missing, what failed or glitched, what was great:"
0,2019/08/21 10:59:25 PM GMT+2,4,Superbugs: the Game,3,2,2,4,3,3,2,4,2,3,3,i liked the colors and the glitch effect
1,2019/08/23 2:54:20 PM GMT+2,3,Superbugs: the Game,0,2,3,2,0,3,0,4,2,4,1,some bacteria are immortal and of different types which is very annoying!
2,2019/08/23 2:56:04 PM GMT+2,8,Superbugs: the Game,3,2,4,0,4,0,4,0,4,0,4,Nothing 
3,2019/08/23 3:07:20 PM GMT+2,5,Superbugs: the Game,1,3,0,1,1,3,0,3,3,4,0,"This game was very technical , I think what was missing is guidance"
4,2019/08/23 3:11:05 PM GMT+2,30,Superbugs: the Game,3,1,3,1,3,1,4,1,3,1,3,Interesting
5,2019/08/28 11:12:36 AM GMT+2,34,Superbugs: the Game,1,3,2,0,0,1,1,3,1,1,0,The antibiotic button kinda delays to pomp out for us to kill the bacteria
6,2019/08/21 11:07:03 PM GMT+2,4,Dr Bug: Microbe Mayhem,3,1,0,4,3,2,0,2,1,1,1,very easy to play
7,2019/08/23 3:08:03 PM GMT+2,30,Superbugs: the Game,3,1,3,1,3,0,4,1,3,1,3,Interrsting
8,2019/08/23 3:10:19 PM GMT+2,31,Superbugs: the Game,0,2,4,0,4,3,0,1,0,1,0,"It was great to kill bacteria also it was challenging to be fast and ready to press the pill
"
9,2019/08/23 3:20:50 PM GMT+2,5,Dr Bug: Microbe Mayhem,3,2,4,4,3,3,1,2,2,4,1,Game was very complected because there was few information about guidance on the game
10,2019/08/23 3:21:28 PM GMT+2,30,Dr Bug: Microbe Mayhem,3,1,3,1,3,1,3,1,3,1,3,Difficult to pray
11,2019/08/23 3:37:18 PM GMT+2,31,Dr Bug: Microbe Mayhem,1,3,1,1,2,2,1,3,2,1,2,The game is about killing bacteria and i managed to kill some using pills 
12,2019/08/23 3:40:45 PM GMT+2,3,Dr Bug: Microbe Mayhem,1,3,1,3,1,3,1,3,1,3,1,some how confusing
13,2019/08/23 3:55:17 PM GMT+2,8,Dr Bug: Microbe Mayhem,4,1,1,3,4,0,4,0,4,0,4,Nothing 
14,2019/08/28 11:26:35 AM GMT+2,34,Dr Bug: Microbe Mayhem,0,0,1,1,1,1,2,3,2,1,0,I liked how I was pressing the Apple or the antibiotic in the middle ground and all of the three childern felt better at the same time Though I understood the logic on the second round
15,2019/08/21 11:15:10 PM GMT+2,4,Fungal Invaders,4,0,0,0,1,0,0,0,0,0,4,"very entertainement, some bugs while positionning the syringe"
16,2019/08/23 3:23:52 PM GMT+2,31,Fungal Invaders,3,1,0,3,1,4,4,4,3,4,2,It was Difficult at first but i managed to kill some bacteria
17,2019/08/23 3:32:37 PM GMT+2,5,Fungal Invaders,0,1,2,3,2,2,1,4,0,2,0,"Game was very clear, even ground we used was beautiful"
18,2019/08/23 3:41:29 PM GMT+2,30,Fungal Invaders,4,0,4,0,4,0,4,0,4,0,4,The game is super
19,2019/08/23 3:49:00 PM GMT+2,3,Fungal Invaders,0,3,2,3,1,3,3,3,2,4,1,"there was no navigation buttons, whenever i tried to shoot, the injection moved instead"
20,2019/08/23 3:59:29 PM GMT+2,8,Fungal Invaders,2,2,4,0,4,0,4,0,1,0,4,I think for the movement of the injection should be manually for the users
21,2019/08/28 11:39:55 AM GMT+2,34,Fungal Invaders,1,2,3,3,0,3,3,3,3,3,1,The fungal came abruptly at the same time and made it difficult to inject the medicine to all.
